"Common Name(s)","All Synonyms","Country of origin","Pedigree","Hectares cultivated (Year)","Year of introduction"
"Agdam Gyzyl Uzumu","Agdam gyzyl izyum, Agdam gyzyl uzumu, Agdam qizil uezuemue, Agdam's gyzyl uzumu","Azerbaijan","","",""
"Chardonnay Rose","Barbera Rose, Chablais Blanc, Chablais Rose, Chablis Blanc, Chablis Rose, Pink Chablis, Rielsing Rose","France","","",""
